epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.584,3.32746,3.39143,3.18599,0.79381,0.43041,0.46621,0.19752,2.44137,1.97237,1.82302,0.00333069,0.00333069,0.00333069
2,712.326,2.36344,1.79949,1.75901,0.81438,0.59546,0.63402,0.30198,1.99949,1.34279,1.48066,0.00659805,0.00659805,0.00659805
3,931.805,2.08038,1.49103,1.52258,0.85219,0.62686,0.66704,0.30266,1.82369,1.28367,1.36134,0.00979941,0.00979941,0.00979941
4,1432.36,1.9302,1.32652,1.43118,0.88544,0.63696,0.69167,0.35767,1.71166,1.04573,1.29267,0.009703,0.009703,0.009703
5,1650.71,1.81035,1.2068,1.36713,0.86404,0.66746,0.70691,0.36561,1.64685,0.96458,1.24802,0.009604,0.009604,0.009604
6,1919.72,1.75471,1.14858,1.32625,0.86302,0.68503,0.71624,0.37869,1.61704,0.91332,1.23609,0.009505,0.009505,0.009505
7,2147.55,1.72105,1.10976,1.30888,0.86597,0.69367,0.72314,0.39165,1.57532,0.87352,1.21441,0.009406,0.009406,0.009406
8,2359.66,1.68742,1.07517,1.28758,0.87394,0.69424,0.72783,0.3953,1.54011,0.86212,1.19665,0.009307,0.009307,0.009307
9,2584.24,1.65778,1.0483,1.27138,0.86206,0.70946,0.73842,0.40606,1.52694,0.83604,1.18684,0.009208,0.009208,0.009208
10,2830.72,1.63546,1.01988,1.25609,0.86927,0.7009,0.73714,0.39889,1.52171,0.82435,1.18368,0.009109,0.009109,0.009109
11,3028.01,1.61989,1.0066,1.24371,0.86583,0.71237,0.74166,0.40701,1.49696,0.82409,1.16999,0.00901,0.00901,0.00901
12,3285.87,1.60878,0.9892,1.23847,0.87684,0.71735,0.74488,0.41543,1.48113,0.79078,1.16148,0.008911,0.008911,0.008911
13,3490.22,1.59251,0.98149,1.23336,0.86347,0.71997,0.74827,0.41797,1.47229,0.77209,1.15932,0.008812,0.008812,0.008812
14,3867.83,1.5718,0.9597,1.22305,0.8736,0.72119,0.75177,0.42257,1.45651,0.75658,1.15308,0.008713,0.008713,0.008713
15,4077.34,1.56397,0.95273,1.21409,0.87472,0.7214,0.75314,0.42466,1.44651,0.74988,1.14249,0.008614,0.008614,0.008614
16,4282.21,1.55402,0.9413,1.21261,0.88171,0.72654,0.75812,0.43009,1.44673,0.73361,1.14354,0.008515,0.008515,0.008515
17,4488.88,1.55313,0.9367,1.20378,0.88805,0.72425,0.75902,0.43357,1.43254,0.73507,1.13704,0.008416,0.008416,0.008416
18,4788.35,1.54052,0.92638,1.20206,0.88053,0.72902,0.75931,0.43195,1.42873,0.73511,1.13579,0.008317,0.008317,0.008317
19,4987.37,1.53945,0.92623,1.20025,0.88346,0.72863,0.75882,0.43257,1.42429,0.73028,1.13051,0.008218,0.008218,0.008218
20,5602.64,1.53073,0.91378,1.19656,0.88235,0.73188,0.76381,0.43726,1.41719,0.71224,1.12483,0.008119,0.008119,0.008119
21,5842.82,1.51947,0.90667,1.18952,0.88441,0.73301,0.76383,0.43781,1.41345,0.70992,1.12408,0.00802,0.00802,0.00802
22,5989.57,1.5062,0.89421,1.18433,0.88874,0.73426,0.76609,0.44055,1.40837,0.70282,1.1201,0.007921,0.007921,0.007921
23,6186.58,1.50485,0.89374,1.18258,0.88547,0.73342,0.76341,0.43986,1.40209,0.69785,1.1177,0.007822,0.007822,0.007822
24,6336.58,1.50364,0.88743,1.17795,0.88816,0.7339,0.76489,0.44307,1.39477,0.69449,1.11249,0.007723,0.007723,0.007723
25,6540.33,1.48769,0.87645,1.1788,0.88823,0.73706,0.76895,0.44512,1.39222,0.68978,1.11245,0.007624,0.007624,0.007624
26,6712.22,1.49653,0.87638,1.1719,0.8843,0.73799,0.76737,0.44502,1.39101,0.67847,1.11095,0.007525,0.007525,0.007525
27,7272.05,1.49154,0.87412,1.17039,0.88655,0.73816,0.77043,0.44927,1.38699,0.68032,1.10747,0.007426,0.007426,0.007426
28,7501.19,1.47151,0.86154,1.16768,0.88483,0.73965,0.77056,0.45022,1.38548,0.67645,1.10695,0.007327,0.007327,0.007327
29,7735.45,1.47339,0.86322,1.16432,0.88736,0.73956,0.77169,0.45109,1.38099,0.67309,1.10481,0.007228,0.007228,0.007228
30,7985.49,1.46567,0.85191,1.16734,0.89047,0.7394,0.77101,0.44773,1.38018,0.67245,1.10418,0.007129,0.007129,0.007129
31,8249.03,1.46926,0.85549,1.16723,0.88614,0.74177,0.77193,0.44682,1.37751,0.66828,1.10376,0.00703,0.00703,0.00703
32,8465.48,1.47746,0.85402,1.15759,0.88668,0.74219,0.77269,0.44828,1.37543,0.67077,1.10184,0.006931,0.006931,0.006931
33,9076.44,1.46641,0.84833,1.15474,0.8894,0.74103,0.7744,0.44833,1.37356,0.66648,1.10043,0.006832,0.006832,0.006832
34,9290.06,1.46247,0.84581,1.157,0.89669,0.73942,0.77454,0.45083,1.37096,0.66428,1.09865,0.006733,0.006733,0.006733
35,9525.92,1.45449,0.83751,1.15039,0.891,0.74459,0.77587,0.4549,1.36645,0.66023,1.09678,0.006634,0.006634,0.006634
36,9776.89,1.45042,0.83671,1.15404,0.89199,0.74509,0.7762,0.45543,1.36405,0.65852,1.09589,0.006535,0.006535,0.006535
37,9988.74,1.44794,0.82739,1.14981,0.88978,0.74565,0.77621,0.45584,1.36214,0.65618,1.09494,0.006436,0.006436,0.006436
38,10281.6,1.4438,0.82752,1.14773,0.88988,0.74563,0.77624,0.45591,1.36153,0.65353,1.09395,0.006337,0.006337,0.006337
39,10541.9,1.44868,0.82626,1.14467,0.89177,0.74569,0.7763,0.45681,1.36009,0.65196,1.09282,0.006238,0.006238,0.006238
40,10758.9,1.43701,0.82162,1.14551,0.88913,0.74675,0.77683,0.45821,1.35804,0.65032,1.09234,0.006139,0.006139,0.006139
41,11450.2,1.43987,0.81728,1.1416,0.89144,0.74637,0.77742,0.4585,1.357,0.64928,1.09149,0.00604,0.00604,0.00604
42,11659.2,1.44078,0.82153,1.14174,0.89349,0.74563,0.77745,0.45833,1.35525,0.64792,1.09052,0.005941,0.005941,0.005941
43,11808,1.4303,0.81335,1.1381,0.89492,0.74641,0.77831,0.45905,1.3537,0.64568,1.08956,0.005842,0.005842,0.005842
44,12007.4,1.43317,0.8136,1.13606,0.89354,0.74748,0.77903,0.45981,1.35188,0.64386,1.08879,0.005743,0.005743,0.005743
45,12181.6,1.43083,0.81274,1.13445,0.89386,0.74702,0.77948,0.46127,1.35139,0.64395,1.08807,0.005644,0.005644,0.005644
46,12361.5,1.43203,0.80795,1.13133,0.89609,0.74605,0.77951,0.46092,1.3509,0.64349,1.08764,0.005545,0.005545,0.005545
47,12517.2,1.41985,0.80336,1.1324,0.88941,0.74896,0.78013,0.46079,1.35005,0.64284,1.08725,0.005446,0.005446,0.005446
48,12757.8,1.42699,0.80435,1.13316,0.88905,0.7496,0.78063,0.4614,1.34939,0.64118,1.08699,0.005347,0.005347,0.005347
49,12952.5,1.41427,0.79928,1.13096,0.88962,0.74985,0.78096,0.46128,1.34902,0.64042,1.08689,0.005248,0.005248,0.005248
50,13175.5,1.41852,0.7966,1.13061,0.89092,0.74968,0.78115,0.46202,1.34834,0.63965,1.08679,0.005149,0.005149,0.005149
51,13399.9,1.41498,0.79434,1.13264,0.89121,0.74954,0.78136,0.46185,1.34776,0.63855,1.08666,0.00505,0.00505,0.00505
52,13691.1,1.41201,0.79613,1.13276,0.89407,0.74858,0.78153,0.46182,1.34697,0.638,1.0862,0.004951,0.004951,0.004951
53,13879.6,1.40784,0.79203,1.12774,0.89369,0.74878,0.78185,0.46217,1.34621,0.6372,1.08586,0.004852,0.004852,0.004852
54,14335.2,1.40863,0.78659,1.12435,0.89363,0.74911,0.78194,0.46179,1.34577,0.63648,1.08561,0.004753,0.004753,0.004753
55,14503.4,1.40392,0.79112,1.12438,0.89387,0.7494,0.7822,0.46275,1.34508,0.63551,1.08519,0.004654,0.004654,0.004654
56,14696.9,1.41084,0.78781,1.12077,0.89162,0.75057,0.78246,0.4627,1.34436,0.63485,1.08473,0.004555,0.004555,0.004555
57,14904.6,1.39757,0.77713,1.11863,0.89212,0.7505,0.78271,0.4639,1.34384,0.63441,1.08446,0.004456,0.004456,0.004456
