epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3816,3.7587,3.61955,3.86888,0.05205,0.02609,0.00584,0.00182,3.27775,3.5863,3.22885,0.0033179,0.0033179,0.0033179
2,89.7674,3.12992,3.17203,3.02479,0.22257,0.07754,0.05279,0.01987,2.90882,2.76721,2.49719,0.00658539,0.00658539,0.00658539
3,125.312,2.94907,2.95535,2.54526,0.21246,0.08937,0.06122,0.02389,2.85559,2.97209,2.25867,0.00978687,0.00978687,0.00978687
4,158.274,2.8122,2.82847,2.28368,0.36526,0.10749,0.10216,0.04806,2.58341,2.32667,1.94327,0.009703,0.009703,0.009703
5,210.62,2.67183,2.65402,2.07382,0.42397,0.12343,0.11626,0.05949,2.42388,2.13237,1.80603,0.009604,0.009604,0.009604
6,247.887,2.58411,2.5406,1.95007,0.39965,0.13092,0.11176,0.05776,2.36096,2.08626,1.71081,0.009505,0.009505,0.009505
7,283.232,2.56453,2.46237,1.87012,0.52292,0.13502,0.14005,0.07577,2.23452,1.94117,1.60615,0.009406,0.009406,0.009406
8,320.274,2.47849,2.40811,1.82348,0.46312,0.14002,0.13345,0.0696,2.18515,2.02548,1.5944,0.009307,0.009307,0.009307
9,356.926,2.43786,2.33178,1.76489,0.4822,0.14589,0.13921,0.0713,2.24867,1.88761,1.56431,0.009208,0.009208,0.009208
10,394.538,2.39767,2.29383,1.72582,0.60277,0.13285,0.14343,0.0783,2.16265,1.81201,1.50735,0.009109,0.009109,0.009109
11,432.72,2.40989,2.28472,1.69848,0.55277,0.14903,0.15518,0.08193,2.22335,1.80165,1.51735,0.00901,0.00901,0.00901
12,470.514,2.34945,2.23543,1.67692,0.5318,0.15121,0.1535,0.08283,2.14045,1.76861,1.49162,0.008911,0.008911,0.008911
13,515.844,2.33619,2.1989,1.64461,0.55175,0.15531,0.15914,0.08515,2.14016,1.77471,1.49195,0.008812,0.008812,0.008812
14,552.35,2.31348,2.16913,1.63235,0.57106,0.15918,0.16183,0.09079,2.07242,1.73058,1.45144,0.008713,0.008713,0.008713
15,588.183,2.28307,2.16133,1.62453,0.55769,0.15075,0.15742,0.0883,2.12576,1.74133,1.44529,0.008614,0.008614,0.008614
16,624.436,2.27253,2.13605,1.61088,0.57661,0.15169,0.15848,0.08831,2.06666,1.69331,1.39092,0.008515,0.008515,0.008515
17,671.187,2.25804,2.11658,1.58877,0.50753,0.16667,0.16232,0.08942,2.09574,1.72693,1.43369,0.008416,0.008416,0.008416
18,709.44,2.25726,2.11366,1.58726,0.57551,0.15821,0.16646,0.09378,2.06657,1.67844,1.40809,0.008317,0.008317,0.008317
19,746.769,2.23324,2.10669,1.58354,0.55393,0.15169,0.15993,0.09157,2.01816,1.70111,1.39213,0.008218,0.008218,0.008218
20,784.049,2.24555,2.08548,1.56453,0.59309,0.15918,0.16855,0.09611,2.0038,1.63081,1.37149,0.008119,0.008119,0.008119
21,816.806,2.23746,2.08031,1.56267,0.56427,0.15725,0.16864,0.096,2.01624,1.60007,1.35773,0.00802,0.00802,0.00802
22,857.957,2.20045,2.06037,1.54801,0.58421,0.1663,0.17327,0.09972,2.02723,1.59178,1.38345,0.007921,0.007921,0.007921
23,894.802,2.19529,2.0438,1.55016,0.58525,0.16111,0.17354,0.09882,2.03811,1.63069,1.3575,0.007822,0.007822,0.007822
24,932.555,2.19172,2.02922,1.52756,0.57222,0.16256,0.1726,0.09932,2.02738,1.60929,1.36755,0.007723,0.007723,0.007723
25,969.871,2.17195,2.02386,1.5248,0.59965,0.16896,0.17938,0.10338,1.97725,1.59743,1.3307,0.007624,0.007624,0.007624
26,1015.59,2.17646,2.0215,1.51943,0.60385,0.16618,0.1776,0.10237,2.02918,1.62224,1.36755,0.007525,0.007525,0.007525
27,1052.96,2.18841,2.01883,1.5284,0.59345,0.16594,0.17316,0.09833,2.0187,1.6261,1.35625,0.007426,0.007426,0.007426
28,1090.54,2.1778,2.01813,1.51683,0.58406,0.16857,0.17806,0.10079,1.99343,1.60726,1.36103,0.007327,0.007327,0.007327
29,1127.88,2.18498,2.01481,1.51286,0.58043,0.16473,0.17637,0.10101,1.95854,1.59551,1.33503,0.007228,0.007228,0.007228
30,1202.79,2.15038,1.98144,1.50198,0.59492,0.17101,0.18134,0.10427,1.92438,1.54714,1.30944,0.007129,0.007129,0.007129
31,1241.5,2.11629,1.96159,1.49844,0.61934,0.16908,0.18125,0.10435,1.94688,1.55327,1.31598,0.00703,0.00703,0.00703
32,1279.42,2.13942,1.96817,1.49821,0.59365,0.16981,0.18205,0.10409,1.97783,1.55773,1.31965,0.006931,0.006931,0.006931
33,1316.88,2.13197,1.95898,1.48313,0.55633,0.1756,0.18331,0.10461,1.96074,1.54557,1.31995,0.006832,0.006832,0.006832
34,1348.1,2.09956,1.93767,1.47501,0.65264,0.16763,0.18223,0.10511,1.95103,1.56736,1.30637,0.006733,0.006733,0.006733
